B,G,R
157.0,156.0,158.0
170.0,172.0,165.0
175.0,175.0,175.0
187.0,187.0,187.0
153.0,153.0,153.0
179.0,191.0,183.0
193.0,195.0,188.0
175.0,175.0,175.0
173.0,173.0,173.0
199.0,199.0,199.0
184.0,186.0,179.0
219.0,223.0,216.0
