B,G,R
145.0,162.0,159.0
83.0,117.0,142.0
157.0,172.0,175.0
157.0,174.0,171.0
165.0,182.0,179.0
142.0,159.0,156.0
151.0,168.0,165.0
71.0,111.0,135.0
157.0,168.0,166.0
77.0,119.0,137.0
140.0,157.0,154.0
131.0,154.0,150.0
107.0,158.0,185.0
161.0,178.0,175.0
144.0,161.0,158.0
159.0,176.0,173.0
139.0,154.0,157.0
149.0,166.0,163.0
157.0,174.0,171.0
163.0,180.0,177.0
74.0,122.0,150.0
152.0,175.0,171.0
152.0,169.0,166.0
143.0,160.0,157.0
205.0,216.0,214.0
